"row ID","Date","Match Time(s)","Map","Team A Rounds","Team B Rounds","Kills","Assists","Deaths","Mvp's","Points","Result"
"Row311","11/9/2017",1639,"Dust II",16,3,0,0,3,0,1,"Lost"
"Row312","11/9/2017",2715,"Dust II",16,12,26,7,19,5,67,"Win"
"Row313","11/9/2017",1921,"Dust II",5,16,18,1,18,1,37,"Lost"
"Row314","11/9/2017",2573,"Dust II",15,15,17,2,20,1,39,"Tie"
"Row315","3/9/2017",2064,"Dust II",8,16,6,3,9,1,16,"Lost"
"Row316","3/9/2017",1347,"Dust II",16,1,13,0,15,1,26,"Lost"
"Row317","3/9/2017",1992,"Dust II",7,16,13,3,12,3,32,"Win"
"Row318","1/9/2017",2635,"Mirage",16,13,4,1,9,1,9,"Lost"
"Row319","1/9/2017",2166,"Dust II",7,16,15,3,12,1,35,"Win"
"Row320","1/9/2017",2225,"Dust II",9,16,15,2,17,1,32,"Lost"
"Row321","31/8/2017",2940,"Dust II",16,13,13,8,19,0,42,"Win"
"Row322","31/8/2017",1746,"Dust II",2,16,7,3,12,0,20,"Lost"
"Row323","31/8/2017",1945,"Dust II",16,7,1,0,7,0,2,"Lost"
"Row324","31/8/2017",2371,"Dust II",16,9,14,7,17,1,42,"Win"
"Row325","31/8/2017",2344,"Dust II",16,9,16,1,17,0,37,"Lost"
"Row326","31/8/2017",2121,"Dust II",16,8,14,2,17,1,38,"Lost"
"Row327","30/8/2017",2586,"Dust II",16,12,13,5,22,0,37,"Lost"
"Row328","30/8/2017",1811,"Dust II",7,16,8,3,16,1,23,"Win"
"Row329","30/8/2017",2460,"Dust II",16,11,13,6,18,0,36,"Win"
"Row330","30/8/2017",2563,"Mirage",16,9,5,2,11,0,16,"Lost"
"Row331","9/7/2017",2475,"Mirage",14,16,13,4,21,2,35,"Lost"
"Row332","6/7/2017",2586,"Dust II",16,9,22,6,13,5,58,"Win"
"Row333","6/7/2017",1936,"Dust II",16,7,6,8,21,0,20,"Lost"
"Row334","6/7/2017",1726,"Mirage",15,4,15,4,10,2,40,"Win"
"Row335","5/7/2017",2423,"Dust II",11,16,13,4,15,1,33,"Win"
"Row336","25/6/2017",2543,"Dust II",16,14,12,6,21,2,32,"Lost"
"Row337","24/6/2017",1862,"Dust II",6,16,12,3,12,1,31,"Win"
