"row ID","Map","Team A Rounds","Team B Rounds","Kills","Assists","Deaths","Mvp's","Points","Result"
"Row544","Dust II",9,16,12,6,21,2,32,"Lost"
"Row545","Dust II",16,10,10,4,22,3,34,"Lost"
"Row546","Dust II",3,16,22,6,8,3,62,"Win"
"Row547","Dust II",16,11,23,3,14,1,55,"Win"
"Row548","Dust II",5,16,15,4,18,0,38,"Lost"
"Row549","Dust II",16,10,24,6,15,3,59,"Win"
"Row550","Dust II",2,14,7,3,12,1,17,"Lost"
"Row551","Dust II",12,16,18,2,17,1,44,"Win"
"Row552","Overpass",16,14,13,4,17,3,44,"Lost"
"Row553","Dust II",15,15,12,3,20,1,34,"Tie"
"Row554","Inferno",4,16,7,7,20,0,23,"Lost"
"Row555","Dust II",7,16,16,4,21,3,37,"Lost"
"Row556","Dust II",1,16,14,2,16,1,30,"Lost"
"Row557","Dust II",12,16,19,4,17,5,57,"Lost"
"Row558","Dust II",16,3,8,1,17,0,25,"Lost"
"Row559","Dust II",16,9,19,5,14,3,53,"Win"
"Row560","Dust II",10,16,9,7,21,1,27,"Lost"
"Row561","Dust II",16,11,22,3,18,1,53,"Lost"
"Row562","Dust II",5,16,17,5,11,1,50,"Win"
"Row563","Dust II",16,3,15,1,9,5,36,"Win"
"Row564","Dust II",10,7,12,4,11,2,30,"Win"
"Row565","Dust II",16,8,5,4,16,1,21,"Lost"
"Row566","Dust II",16,14,17,5,24,2,44,"Lost"
"Row567","Dust II",6,16,7,6,20,1,20,"Lost"
"Row568","Dust II",4,16,10,2,18,1,26,"Lost"
"Row569","Dust II",16,4,15,6,20,1,37,"Lost"
"Row570","Dust II",16,12,16,3,18,2,41,"Win"
"Row571","Dust II",8,16,9,6,15,1,31,"Win"
"Row572","Dust II",16,14,23,7,22,2,55,"Lost"
"Row573","Dust II",16,6,9,3,21,0,24,"Lost"
"Row574","Mirage",6,16,13,6,15,1,35,"Win"
"Row575","Overpass",9,16,12,4,21,1,30,"Lost"
"Row576","Dust II",15,15,14,7,22,3,43,"Tie"
"Row577","Dust II",16,12,18,2,17,1,55,"Lost"
"Row578","Cache",5,13,8,3,5,2,23,"Win"
"Row579","Dust II",10,16,1,0,4,0,3,"Lost"
"Row580","Canals",16,9,15,12,18,1,50,"Win"
"Row581","Dust II",16,6,14,2,17,2,35,"Lost"
"Row582","Cache",5,16,11,4,10,2,31,"Win"
"Row583","Dust II",16,12,14,9,20,0,43,"Win"
"Row584","Dust II",15,15,17,6,17,1,44,"Tie"
"Row585","Dust II",16,7,11,3,20,1,33,"Lost"
"Row586","Dust II",15,15,11,8,25,2,38,"Tie"
"Row587","Dust II",15,15,20,8,23,5,58,"Tie"
"Row588","Dust II",6,16,8,3,19,0,19,"Lost"
